b'The following solver is parallelized by UG version 0.9.1 [GitHash: ]\n'
b'SCIP version 7.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 5.0.2] [GitHash: e9d280a398]\n'
b'Copyright (C) 2002-2020 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)\n'
b'External codes: \n'
b'  Readline 7.0         GNU library for command line editing (gnu.org/s/readline)\n'
b'  SoPlex 5.0.2         Linear Programming Solver developed at Zuse Institute Berlin (soplex.zib.de) [GitHash: e24c304e]\n'
b'  CppAD 20180000.0     Algorithmic Differentiation of C++ algorithms developed by B. Bell (www.coin-or.org/CppAD)\n'
b'  ZLIB 1.2.11          General purpose compression library by J. Gailly and M. Adler (zlib.net)\n'
b'  GMP 6.1.2            GNU Multiple Precision Arithmetic Library developed by T. Granlund (gmplib.org)\n'
b'  ZIMPL 3.4.0          Zuse Institute Mathematical Programming Language developed by T. Koch (zimpl.zib.de)\n'
b'Default LC presolving (default).\n'
b'Original Problem   :\n'
b'  Problem name     : 001\n'
b'  Variables        : 5320 (1200 binary, 0 integer, 0 implicit integer, 4120 continuous)\n'
b'  Constraints      : 13850\n'
b'  Objective sense  : minimize\n'
b'Presolved Problem  :\n'
b'  Variables        : 1489 (446 binary, 0 integer, 0 implicit integer, 1043 continuous)\n'
b'  Constraints      : 1661\n'
b'Constraints        : Number\n'
b'  knapsack         : 10 \n'
b'  setppc           : 124 \n'
b'  linear           : 1522 \n'
b'  logicor          : 5 \n'
b'** Instance transfer method used: 0\n'
b'** ParaScipInstance copy does not increase the number of variables. **\n'
b'LC is working with racing ramp-up and with rebuilding tree after racing.\n'
b'                               Nodes    Active                                            \n'
b'     Time          Nodes        Left   Solvers     Best Integer        Best Node       Gap     Best Node(S)    Gap(S)\n'
b'     1111        2303313      420170         8           1.1837           0.0000         -           0.0728         -\n'
b'     1116        2314579      421682         8           1.1837           0.0000         -           0.0733         -\n'
b'     1121        2325684      423075         8           1.1837           0.0000         -           0.0737         -\n'
b'     1127        2336176      424338         8           1.1837           0.0000         -           0.0750         -\n'
b'     1132        2347553      425793         8           1.1837           0.0000         -           0.0758         -\n'
b'     1137        2358903      427161         8           1.1837           0.0000         -           0.0758         -\n'
b'     1142        2371185      428227         8           1.1837           0.0000         -           0.0758         -\n'
b'     1147        2383067      429637         8           1.1837           0.0000         -           0.0758         -\n'
b'     1152        2394588      430884         8           1.1837           0.0000         -           0.0758         -\n'
b'     1157        2406375      432102         8           1.1837           0.0000         -           0.0758         -\n'
b'     1162        2416894      433312         8           1.1837           0.0000         -           0.0758         -\n'
b'     1167        2428714      434740         8           1.1837           0.0000         -           0.0758         -\n'
b'     1172        2440217      436230         8           1.1837           0.0000         -           0.0758         -\n'
b'     1177        2451689      437437         8           1.1837           0.0000         -           0.0758         -\n'
b'     1182        2462736      438883         8           1.1837           0.0000         -           0.0758         -\n'
b'     1188        2474877      440316         8           1.1837           0.0000         -           0.0758         -\n'
b'     1193        2486631      441834         8           1.1837           0.0000         -           0.0758         -\n'
b'     1198        2497957      443309         8           1.1837           0.0000         -           0.0758         -\n'
b'     1203        2510549      444884         8           1.1837           0.0000         -           0.0758         -\n'
b'     1208        2521935      446289         8           1.1837           0.0000         -           0.0758         -\n'
b'     1213        2532656      447792         8           1.1837           0.0000         -           0.0758         -\n'
b'     1218        2545041      449209         8           1.1837           0.0000         -           0.0758         -\n'
b'     1223        2557549      450688         8           1.1837           0.0000         -           0.0758         -\n'
b'     1228        2568628      452099         8           1.1837           0.0000         -           0.0758         -\n'
