Cn	r	z(m)	z(s)	sol_time(m)	sol_time(s)	mmccp_max_len_inc(m)	mmccp_max_len_inc(s)	mmccp_sum_len_inc(m)	mmccp_sum_len_inc(s)
90	2	4.273923940646695	0.5938113155746623	0.2200096368789673	0.015442971964694144	0.04963743497993249	0.10223400232861707	0.4837492070364101	0.332629802112086
90	4	3.5394312363941474	0.6370194338831918	0.44751176834106443	0.07035729743085477	0.015444373491282404	0.046333120473847064	1.75379318888292	0.8795751809263904
90	6	3.2469092145440777	0.86824082216419	0.5487395048141479	0.1294193687445841	0.015444373491282404	0.046333120473847064	2.0455315392769724	1.0715647261724737
90	8	2.683067484645677	0.8441907898880164	0.7850634574890136	0.33173041546857884	0.033634548483694585	0.06754871232100611	2.5580725197952967	1.158851833422572
90	10	1.991115501452049	0.6348252132012846	1.441901683807373	0.5682829720538712	0.06009231142204774	0.09530560158198789	3.881229379814188	1.3148696347148656
100	2	4.354141819919056	0.6675041357148417	0.25784828662872317	0.0338013863010816	0.0898994061057802	0.12656484340622487	0.4601240179074522	0.37143370353434885
100	4	3.5004080292552615	0.5871343913591539	0.494941782951355	0.06845884235137123	0.04587156428471397	0.07816562730979942	1.0146877690668152	0.773398059864979
100	6	3.2189985383045174	0.6620813690641493	0.6674078941345215	0.1437002168287854	0.00872858404844803	0.026185752145344087	2.052506256059416	0.9801168738517918
100	8	2.8088297941527793	0.8217709002321137	0.8565642356872558	0.22406249953832963	0.008963951096974721	0.02611672552435664	2.7421996217650966	1.2384037953793106
100	10	2.3270192536362355	0.6983724599987876	1.2726436614990235	0.5079605875995692	0.054009057151031416	0.09010030258587598	3.9749520041814415	1.3428663428048124
